,Recall,F1-Score,AUC-ROC
Logistic Regression,0.7780748663101604,0.6171792152704135,0.8485907670050892
Naive Bayes,0.8048128342245989,0.6032064128256514,0.8143532511818956
K-Nearest Neighbors,0.56951871657754,0.5620052770448549,0.7886628432664239
Decision Tree,0.5106951871657754,0.5032938076416338,0.6621212121212121
Random Forest,0.4893048128342246,0.547085201793722,0.8305781601178021
Extra Trees,0.4919786096256685,0.532561505065123,0.7992727789402981
Gradient Boosting,0.5294117647058824,0.5823529411764706,0.8522217055465138
AdaBoost,0.5240641711229946,0.5885885885885885,0.8505554263866284
Support Vector Classifier,0.7887700534759359,0.6296691568836713,0.8346069389547651
MLP Classifier,0.4893048128342246,0.5191489361702127,0.7969335296701027
XGBoost,0.7352941176470589,0.6172839506172839,0.8453809191660855
LightGBM,0.732620320855615,0.6164229471316085,0.8439277687359529
CatBoost,0.5588235294117647,0.6049204052098408,0.855028546332894
